[18:05:43] [main/INFO]: ModLauncher running: args [--username, Jostemis, --version, forge-47.3.0, --gameDir, C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience, --assetsDir, C:\Users\befen\curseforge\minecraft\Install\assets, --assetIndex, 5, --uuid, 362959dda9da49b4a3135203ff9d142d, --accessToken, ????????, --clientId, NzgxNTU5NmUtNDY3Yy00OWZlLWJkMjgtZjRiNTMzZDhjNzY0, --xuid, 2535460817563007, --userType, msa, --versionType, release, --width, 1024, --height, 768, --quickPlayPath, C:\Users\befen\curseforge\minecraft\Install\quickPlay\java\1739279139908.json, --launchTarget, forgeclient, --fml.forgeVersion, 47.3.0, --fml.mcVersion, 1.20.1, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20230612.114412]
[18:05:43] [main/INFO]: ModLauncher 10.0.9+10.0.9+main.dcd20f30 starting: java version 17.0.8 by Microsoft; OS Windows 11 arch amd64 version 10.0
[18:05:58] [main/INFO]: Loading ImmediateWindowProvider fmlearlywindow
[18:05:58] [main/INFO]: Trying GL version 4.6
[18:05:59] [main/INFO]: Requested GL version 4.6 got version 4.6
[18:05:59] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=union:/C:/Users/befen/curseforge/minecraft/Install/libraries/org/spongepowered/mixin/0.8.5/mixin-0.8.5.jar%23100!/ Service=ModLauncher Env=CLIENT
[18:05:59] [pool-2-thread-1/INFO]: GL info: NVIDIA GeForce RTX 2060/PCIe/SSE2 GL version 4.6.0 NVIDIA 566.36, NVIDIA Corporation
[18:06:02] [main/INFO]: Found mod file (Forge)SculkHorn-1.20.x-1.4.5.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file [FORGE] SuperOreBlock - MC 1.20.1 - 6.0.0.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file [forge]ctov-3.4.11.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file additional_lights-1.20.1-2.1.7.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file additionallanterns-1.1.1a-forge-mc1.20.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file AdditionalStructures-1.20.x-(v.4.2.2).jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file Adorn-5.0.1+1.20.1-forge.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file AdvancementPlaques-1.20.1-forge-1.6.7.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file AI-Improvements-1.20-0.5.2.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file alexscaves-2.0.2.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file alexsmobs-1.22.9.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file alternate_current-mc1.20-1.7.0.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file AmbientEnvironment-forge-1.20.1-11.0.0.1.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file AmbientSounds_FORGE_v6.1.4_mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file amendments-1.20-1.2.14.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file ancientreforging-1.3.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file animal_armor_trims-merged-1.20.1-1.0.0.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file Apotheosis-1.20.1-7.4.6.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file ApotheoticAdditionsV2.1.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file ApothicAttributes-1.20.1-1.3.7.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file appleskin-forge-mc1.20.1-2.5.1.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file Aquaculture-1.20.1-2.5.3.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file aquamirae-6.API15.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file aquamirae_delight-1.5.2-forge-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file architectury-9.2.14-forge.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file ars_elemental-1.20.1-0.6.7.7.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file ars_nouveau-1.20.1-4.12.6-all.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file artifacts-forge-9.5.13.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file AttributeFix-Forge-1.20.1-21.0.4.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file automessage-merged-1.20.1-2.2.0.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file awesomedungeonend-forge-1.20.1-3.1.1.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file awesomedungeonnether-forge-1.20.1-3.1.1.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file awesomedungeonocean-forge-1.20.1-3.3.0.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file azurelib-neo-1.20.1-2.0.41.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file BadOptimizations-2.2.1-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file bagus_lib-1.20.1-5.3.0.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file balm-forge-1.20.1-7.3.11-all.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file BarteringStation-v8.0.0-1.20.1-Forge.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file BEB-Forge-1.20.1-2.0.0.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file BetterAdvancements-Forge-1.20.1-0.4.2.10.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file BetterAnimationsCollection-v8.0.0-1.20.1-Forge.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file betterarcheology-1.2.1-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file BetterBurning-Forge-1.20.1-9.0.2.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file BetterF3-7.0.2-Forge-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file betterfpsdist-1.20.1-6.0.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file betterpickaxetrims-forge-1.20.1-1.0.1.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file BetterThirdPerson-Forge-1.20-1.9.0.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file bettervillage-forge-1.20.1-3.2.0.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file BiomesOPlenty-1.20.1-18.0.0.592.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file BloodAndMadness-Forge1.20.1-v2.1.5.2.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file BoatBreakFix-Universal-1.0.2.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file Bookshelf-Forge-1.20.1-20.2.13.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file Botania-1.20.1-446-FORGE.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file botaniadelight-1.0.3.5-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file botarium-forge-1.20.1-2.3.4.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file Bountiful-6.0.4+1.20.1-forge.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file caelus-forge-3.2.0+1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file carryon-forge-1.20.1-2.1.2.7.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file catalogue-forge-1.20.1-1.8.0.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file cfm-forge-1.20.1-7.0.0-pre36.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file CHA-S-1.20-forge.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file chat_heads-0.13.9-forge-1.20.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file chunksending-1.20.1-2.8.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file citadel-2.6.1-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file cleanswing-1.20-1.8.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file clickadv-1.20.1-3.8.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file cloth-config-11.1.136-forge.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file Clumps-forge-1.20.1-12.0.0.4.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file collective-1.20.1-7.87.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file colorize-1.20.4-forge-1.9.0.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file colourfulearth-1.20.1-2.1.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file comforts-forge-6.4.0+1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file configured-forge-1.20.1-2.2.3.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file connectedglass-1.1.12-forge-mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file connectivity-1.20.1-6.5.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file Controlling-forge-1.20.1-12.0.2.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file coroutil-forge-1.20.1-1.3.7.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file cosmeticarmorreworked-1.20.1-v1a.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file crabclaws-forge-1.20.X-1.2.0.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file craftingtweaks-forge-1.20.1-18.2.5.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file create-1.20.1-0.5.1.j.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file createdeco-2.0.2-1.20.1-forge.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file CreativeCore_FORGE_v2.12.31_mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file creeperoverhaul-3.0.2-forge.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file Croptopia-1.20.1-FORGE-3.0.4.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file Cucumber-1.20.1-7.0.13.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file cupboard-1.20.1-2.7.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file curios-forge-5.11.1+1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file danger_close-merged-1.20.1-3.1.1.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
[18:06:02] [main/INFO]: Found mod file decorative_blocks-forge-1.20.1-4.1.3.jar of type MOD with provider {mods folder locator at C:\Users\befen\curseforge\minecraft\Instances\Mystical Experience\mods}
